,1,15,33,34,37,42,48,61,62,70,88,89,99,100,105,106,114,116,122,131,132,138,139,155,157,161,167,168,169,170,171,172,177,179,180,191,198,2,6,10,18,19,21,27,31,35,44,46,51,53,54,56,57,65,66,68,71,72,73,74,75,76,95,96,98,110,113,115,118,120,126,134,141,142,144,145,148,152,153,162,163,166,174,178,183,184,185,186,187,188,189,190,192,194,195,196,197,199,200,4,8,32,38,58,64,79,92,104,136,147,159,164,173,3,5,7,9,11,12,13,14,16,17,20,22,23,24,25,26,28,29,30,36,39,40,41,43,45,47,49,50,52,55,59,60,63,67,69,77,78,80,81,82,83,84,85,86,87,90,91,93,94,97,101,102,103,107,108,109,111,112,117,119,121,123,124,125,128,129,130,133,135,137,140,143,146,149,150,151,154,156,158,160,165,175,176,181,182,193
CE(15:0),8.766,8.5974,6.8798,10.196,7.0787,6.7104,7.1958,5.7495,7.9884,6.7855,4.0638,7.4666,13.463,6.3238,8.5801,4.9604,6.7843,3.1246,8.821,4.6905,4.9724,6.9502,4.2539,5.1705,5.8969,10.7391,5.8857,8.7515,6.386,9.877,8.1841,5.9923,5.6326,6.2283,7.2485,4.6373,6.4778,5.0146,7.6408,5.2558,7.1151,11.057,7.2378,6.2562,6.9257,8.1192,5.354,8.2239,11.6998,4.9808,8.3585,8.7803,9.2848,7.0227,5.3563,5.943,5.1265,4.5718,7.3115,5.5442,7.9376,5.1927,3.9561,5.8441,11.7199,9.1023,9.7104,4.3863,8.0413,3.2206,8.96,7.5492,8.0429,7.8949,8.978,4.4654,8.0048,6.5765,6.5016,11.4924,5.4524,9.7744,8.7519,5.8684,10.5408,4.9819,7.5696,7.1704,8.7504,8.1273,7.1154,7.9615,3.7116,6.7649,11.7742,5.7361,3.7006,9.7866,6.9632,11.1207,9.0694,8.5747,10.1708,6.0158,6.675,8.1586,5.4592,8.9547,13.327,5.7757,4.1578,11.8988,6.4599,7.9174,16.1621,7.0417,9.4301,10.4196,11.6182,8.4119,6.4284,10.8092,5.6167,9.1378,9.2025,10.9977,6.1371,14.251,8.104,4.2322,9.6941,4.7891,5.8619,6.2739,10.657,6.0927,8.2681,11.0411,7.8986,7.452,9.3975,5.9202,5.0591,6.3548,7.105,6.7743,7.8799,14.0803,9.3138,6.1783,7.7521,7.08,7.4504,8.2954,17.3847,6.7343,4.5625,7.5157,5.0886,7.0939,5.1721,10.2385,4.4264,5.7728,7.565,7.279,9.1374,10.9276,9.9061,6.8798,8.7411,3.9442,11.1056,6.0764,8.5047,4.3343,6.9407,10.3,13.1773,6.7459,5.6574,11.3373,10.4448,10.9446,9.3726,7.7847,9.2557,6.1887,9.7627,8.5783,8.6132,8.017,6.9132,12.83,9.0072,7.6907,6.8961,8.4932,6.7972
CE(16:0),579.7585,461.6284,418.6439,464.3323,348.4874,488.2323,219.9397,301.1992,325.8862,302.7622,258.8004,391.9346,356.7914,393.8063,455.6431,394.0546,553.7738,211.5164,383.565,243.6553,341.9071,270.4141,304.012,312.027,339.7145,412.2927,335.1284,390.9824,382.4109,450.3192,410.982,450.8116,318.5564,391.0503,402.5592,294.6137,267.0177,201.1619,449.9254,341.5402,474.1162,538.5822,325.9089,319.146,282.5966,333.7938,352.8515,408.3315,489.3649,285.2891,377.9119,343.0439,368.6307,384.9585,328.9305,266.3687,215.4652,336.7513,292.0652,322.8604,337.6699,260.9405,304.7755,273.5173,289.7262,394.5439,548.2698,304.32,303.8864,359.6341,378.18,316.5213,428.3223,385.9642,322.0486,304.0288,359.4378,393.2376,339.3524,446.7856,313.0212,448.0332,455.4705,393.0998,502.2922,280.8495,262.229,364.7785,464.4343,391.4,314.1318,388.0949,207.5456,309.8195,400.7762,252.1399,162.7927,417.4905,330.9256,399.2379,440.6074,327.9955,387.0622,370.1009,334.0713,389.404,268.1998,341.7294,438.1665,289.507,251.0271,372.8154,391.0213,388.5446,518.2236,401.0302,358.7253,416.0025,437.5154,447.3208,300.4845,482.7344,321.537,355.0617,330.3317,482.4563,361.0754,487.7313,376.1638,281.2501,415.7002,335.1194,252.4409,282.6695,307.0671,328.6183,277.4866,479.2991,276.1445,323.4154,371.9351,269.0635,291.6415,377.0135,329.2276,348.1215,442.203,598.7971,377.1919,318.788,395.5712,371.5759,309.5254,372.0379,503.2254,359.9609,274.6438,424.247,381.0264,292.8597,245.3964,438.7993,353.6731,286.5114,480.517,338.2438,429.7116,532.9235,355.0174,347.0561,514.6103,173.5674,399.7162,301.2436,372.2395,225.384,387.8783,523.109,544.1277,367.6911,279.8251,451.5026,456.5786,616.9686,449.2927,292.7881,314.5903,331.1993,458.1385,398.1861,409.1529,361.9414,380.323,493.5367,417.2348,355.3454,351.17,486.137,386.0228
CE(17:0),10.4096,8.694,8.9634,8.8851,7.829,7.1792,5.4387,4.5938,7.5488,6.5421,4.2412,7.9478,10.1747,5.4141,7.3488,5.4306,7.5032,3.0025,8.9267,4.225,5.3689,6.5119,5.8518,4.3687,6.2679,10.1536,8.6604,9.1865,7.1164,8.1165,7.1661,6.9733,4.9048,7.8437,8.6508,4.1475,5.3936,3.2018,6.2474,6.3493,6.7763,9.6806,9.0731,5.4944,6.8814,7.0959,6.1698,7.9618,8.5868,4.8196,9.1964,6.0465,6.5427,6.1025,4.9982,5.9544,4.7855,4.9454,6.3529,5.0071,7.484,4.7226,5.9907,4.7031,8.116,8.1891,9.6411,4.2688,5.9879,4.2385,7.6,6.8945,6.9587,5.4142,8.4264,3.8723,7.5685,6.5959,6.4495,9.0048,5.0605,8.7902,8.5248,6.2326,7.7049,3.7235,5.6811,7.5665,8.5454,6.5535,6.9334,9.4997,3.8696,5.0616,10.3197,4.527,2.7026,7.7957,5.8661,9.6845,7.7714,8.1951,9.414,5.024,7.4575,9.0307,6.0338,6.8334,11.7627,6.0805,3.5593,14.3212,8.6693,7.0274,12.6073,8.1278,8.0034,9.5495,11.5065,8.638,5.1761,9.7676,5.4719,7.949,9.235,11.8018,7.4007,11.5104,8.7647,4.6009,8.9584,5.0778,5.8013,7.5418,8.2017,6.3576,7.1052,10.547,6.5609,7.5742,9.0811,5.8918,3.9837,6.5313,7.6114,6.2354,7.7056,12.2997,8.8025,5.1023,8.0275,6.1102,7.0046,7.9444,14.0586,6.791,4.9885,8.4996,5.5304,8.2377,4.9776,9.5185,4.6478,5.5987,8.5958,8.2315,7.9929,10.6692,6.7031,8.0769,8.3885,3.3131,8.2989,5.4326,6.6019,5.0085,6.0689,9.532,13.9905,6.3837,6.9893,11.7145,10.4255,9.9419,8.7791,7.087,11.8153,6.519,11.4317,9.3032,7.393,6.2284,6.2956,9.5686,8.1171,7.0132,8.6245,7.2963,7.4978
CE(18:0),65.5255,45.3055,42.3794,38.6198,33.2895,49.0946,20.7339,21.1778,34.3182,30.1697,23.7624,38.9012,33.5174,39.4393,44.2099,39.1066,53.3533,17.2617,47.1159,25.016,33.5184,26.7362,26.5166,28.2411,34.7759,41.4378,37.3953,46.9416,43.8218,45.1097,38.605,43.1832,28.9856,45.8795,42.7406,26.1709,29.1364,15.7031,37.1125,30.3533,46.3048,54.3216,43.427,32.0264,29.0024,32.7453,35.1832,41.4217,44.1876,27.2571,40.546,33.2077,31.6896,31.1099,30.394,25.7758,22.7517,30.5976,27.8551,31.2378,33.0167,23.4635,30.9848,27.6484,26.3951,44.5535,54.7715,29.1768,29.3169,29.8518,36.74,35.6147,42.1068,31.6873,35.4936,28.2574,33.4228,41.3354,34.2638,43.1531,33.1917,44.5998,40.9936,35.2305,39.7018,23.5133,25.5572,42.6063,49.9277,41.6698,30.2267,41.6989,18.6596,27.3328,41.6521,23.5639,15.8229,44.5949,31.4333,46.7604,38.8399,33.1084,39.6495,30.713,36.2336,42.6728,25.4346,31.8467,42.1751,26.2474,26.191,40.6186,46.4815,36.6758,56.523,41.6344,34.6059,37.2192,54.2705,41.2678,29.366,45.0654,32.3967,34.5995,36.9564,53.0964,34.9049,52.2993,39.6453,26.275,47.4103,33.8465,20.6151,35.8483,30.9435,33.8918,30.7211,52.7781,27.0208,33.9312,35.4499,32.0145,21.0999,31.862,31.1011,31.87,40.3868,65.4434,37.0544,30.3013,35.4942,34.0036,30.3428,39.9067,39.8695,36.0358,26.3169,43.126,36.1604,34.9957,23.5795,45.2392,36.5522,28.114,47.3185,37.2478,43.6705,44.0427,29.305,36.1487,47.4357,17.0051,36.1236,31.1355,34.8463,24.9343,36.0714,51.6807,61.0911,28.2665,31.0142,45.3913,44.5014,59.1068,47.5556,32.8645,38.2308,34.7679,47.2131,32.4002,41.9178,30.7422,33.6892,52.4952,43.2558,35.3404,37.02,38.6451,39.1741
CE(18:1),936.8668,721.7881,638.3651,678.9918,505.1372,732.8255,345.2474,426.667,482.2756,469.2695,358.9162,580.89,468.7818,637.2798,610.546,630.455,833.0814,333.2422,663.1916,424.6638,461.8528,417.1742,579.5657,449.6005,564.9642,642.9746,482.5662,622.2007,617.2438,691.9813,608.5842,744.8954,523.2707,603.3931,724.7717,461.0788,460.3306,277.9879,617.1164,501.8516,835.9723,789.468,652.7722,455.4592,483.6828,507.5167,558.0162,603.9924,590.2376,448.8932,572.579,522.057,593.0546,485.7641,482.4602,381.1254,357.5486,537.5186,502.3784,496.3656,502.2881,372.8117,443.5674,478.3367,483.4713,764.7691,808.5694,375.1477,419.0564,583.3993,640.8937,574.9959,561.6052,640.0278,517.9599,560.7674,521.6576,624.2213,578.7429,652.9506,541.3265,705.9132,664.0011,611.1498,684.1602,462.4647,463.7988,592.8304,800.2695,681.1253,467.2088,690.2784,327.4363,480.782,640.4323,362.8796,249.9504,683.6721,530.5585,686.1477,722.4874,566.0854,635.9579,496.4509,554.928,671.3671,465.663,582.1625,710.3093,422.9879,474.9325,679.8891,761.2629,600.2413,928.1672,556.0005,498.6807,664.7593,768.6857,695.0033,484.7779,742.6734,493.8547,453.7584,568.4343,906.4471,559.0819,764.1187,651.3793,524.9771,774.3996,543.3603,417.4875,595.7009,532.8448,511.135,491.3499,705.4419,462.5584,551.412,549.2301,418.3751,410.8831,649.4707,505.9509,501.4991,800.8168,817.0551,645.5553,582.7667,617.9141,549.5802,528.2069,637.8236,664.1592,604.9903,474.2569,651.4621,774.0109,506.7139,427.8115,624.2949,562.0397,430.5153,800.7615,545.354,706.1453,811.9295,508.2644,546.5483,866.4786,280.3607,638.3345,518.7916,584.2532,421.7738,618.0689,763.1239,891.8119,458.2536,520.7153,717.6577,654.2457,875.3543,760.1402,545.0382,583.1066,626.0126,711.8464,644.1543,641.0021,556.0344,610.3478,778.1501,694.4442,640.5061,629.0469,655.9846,660.0159
CE(18:2),3148.0359,2530.5466,2406.6241,1976.4041,1871.635,2484.5906,1016.474,1360.3858,1311.0262,1448.2114,1527.9794,2197.2465,1565.6177,2015.6831,1973.9566,2081.1176,2452.0389,1112.6863,1902.085,1323.7284,2152.7595,1382.3337,1101.2395,1842.5908,2188.7007,2092.8361,1696.0183,2016.1542,2451.3887,2234.575,2012.3344,2296.447,1644.0469,1667.8147,2089.5783,1180.9532,1439.7177,995.1464,1908.4755,1450.8725,2224.6978,2708.8801,1549.4676,1537.1677,1370.823,1606.8618,1750.8839,2462.469,1835.3475,1390.3781,1977.9705,1290.3234,1356.8644,1731.2541,1185.8827,919.1664,955.9403,1864.7514,1729.9973,1993.403,1467.0552,1237.1476,1608.0705,1486.0811,1335.8443,1841.1044,2428.3496,1501.1466,1555.3387,2080.8384,2217.6513,1633.6375,1901.9143,2299.284,1612.8054,1454.3101,2001.6465,1880.486,1799.0878,1928.5497,1841.9923,2154.7722,2372.1578,2236.7743,2286.5414,1321.1654,1250.9448,2176.0202,2275.2571,1898.179,1306.8158,2082.2045,794.6377,1625.2829,1871.9917,1621.5693,806.5979,2393.3435,1638.9088,1688.602,1497.6238,1676.5731,1907.5316,1690.1073,1628.2598,1821.4257,1575.8299,1951.06,2038.9798,1607.9067,1362.2079,1849.6623,2156.1933,2615.5299,2472.9514,1792.856,2060.2022,1935.1197,2237.4866,2071.0268,1318.331,2693.2181,1640.6131,1928.2168,1707.1063,2930.174,1900.3158,2432.1074,1850.6627,1619.2021,2142.2546,1852.2756,1215.7119,1685.4972,1613.7737,1699.727,1448.9477,2426.518,1200.5035,1587.7824,2120.2513,1454.2414,1555.8291,1712.7051,1198.5718,1532.3568,1924.1622,2988.4162,1817.3212,1580.6062,2126.3273,1917.9582,1376.3243,2072.0602,2595.8152,1776.786,1595.1609,2059.765,1181.1617,1439.8391,905.7315,2202.8241,2104.0158,1628.3973,2557.3547,1978.1742,2742.3024,2579.307,1403.1985,1995.1713,2427.9739,1005.0482,2138.9905,1572.6209,1955.8401,995.9531,2637.1662,3428.2877,2482.092,1798.4321,1475.2172,1919.2409,2375.2792,3692.5485,3328.8638,1446.9711,2191.1901,1836.0169,2289.4487,1719.1412,2456.9737,2303.6386,1699.8875,2744.4959,2846.4728,1580.9042,1302.5934,2133.8978,1987.3513
CE(18:3),100.0068,84.5702,64.1835,62.308,48.4236,90.1712,25.5569,30.8213,49.3222,43.395,38.554,59.3149,63.5858,76.1782,111.0602,51.4652,125.2276,17.3218,57.9042,41.9622,50.7941,50.6067,70.7742,35.7295,57.0052,54.3617,47.83,57.9587,40.0925,95.1204,63.675,100.3719,57.5318,37.5909,87.9652,39.5715,39.0058,34.911,87.1211,51.5893,107.3554,86.2694,50.4234,53.707,24.8869,51.5175,68.1696,82.6517,71.096,64.9264,56.9782,59.3868,100.0836,58.0596,43.1676,31.5093,29.6492,55.1628,61.3343,42.4251,50.3137,29.1722,35.8876,46.8217,54.8016,65.1979,106.9781,49.5062,32.7812,64.224,79.2544,42.2593,64.4828,70.8097,55.925,79.8384,65.1606,78.9514,62.8602,83.6237,40.4086,78.7092,61.0758,74.325,71.2279,43.7621,56.8617,55.3914,113.7503,98.3338,68.8226,50.8957,27.8066,57.5292,47.9101,41.4185,29.4451,67.525,35.4112,76.6663,64.2711,37.1762,70.3794,51.5421,45.9973,46.3424,48.4988,51.2739,82.449,40.7469,50.0421,58.2219,62.7357,66.0424,94.7347,62.1871,59.0027,86.8841,98.9292,78.5883,65.9867,83.0344,49.3592,73.137,55.4589,76.2775,73.5909,102.1358,87.9886,53.453,83.5953,44.9304,44.3127,39.722,60.2211,36.4232,41.2328,65.2319,54.8134,65.5289,69.3371,41.1111,34.5541,71.4238,59.2102,63.3876,85.8191,129.3153,53.4089,57.269,54.4735,61.841,60.201,60.9653,73.1998,56.619,34.9655,86.3169,72.3754,36.5909,35.6105,102.462,56.303,47.7037,47.6213,34.7094,100.6075,82.5293,55.5323,51.8914,111.2757,40.5245,73.9918,59.3024,65.9802,34.897,61.0488,78.8024,75.5357,52.4794,40.9692,80.8757,59.2853,105.0508,75.0605,76.8631,64.6568,43.1208,69.0621,82.0989,66.0275,55.9439,73.4737,100.7776,79.3057,110.3932,68.5363,74.9261,76.0616
CE(20:0),188.9064,132.3665,130.1653,112.0307,90.2127,96.635,7.7815,31.6367,17.8412,82.9021,20.3044,57.9865,23.328,32.2645,28.0856,22.5417,26.4408,11.2974,23.4523,21.1968,35.5172,97.2552,2.4616,14.9878,11.5985,23.3442,29.6598,63.94,61.4067,35.2555,29.3031,29.2366,12.5625,14.6215,17.2819,7.2544,4.5702,37.8451,79.2183,43.969,55.5884,104.4911,89.1017,26.921,29.6227,41.871,73.2728,67.5446,31.4223,43.3761,88.3675,31.7764,25.0254,84.5956,88.3791,24.1383,34.7684,24.567,42.7788,86.8873,46.6618,42.6317,60.3871,39.8943,37.6682,17.1417,63.6958,23.4981,19.2487,53.1559,28.64,32.7455,36.0155,8.6498,32.3551,10.1692,25.7026,19.0526,13.5421,23.5399,44.4033,96.782,43.7802,24.0401,81.4636,13.0495,7.5066,29.969,22.0128,10.5466,9.2809,9.5828,2.7188,6.797,7.8626,8.818,3.252,10.4572,5.8966,169.5191,97.4538,36.5935,153.614,23.9006,34.7805,126.1193,30.5939,12.7558,25.171,26.7447,10.0638,35.425,172.5434,42.6463,82.4442,111.1278,82.2434,69.9791,104.2735,58.6342,45.7291,135.1036,130.5847,88.5392,118.7061,67.4289,160.6935,100.2823,76.084,40.3984,104.8393,72.9576,57.3013,104.3667,147.9265,126.249,55.2699,69.5545,25.5048,23.7457,51.193,44.6073,67.6771,16.6459,67.4602,12.1629,18.2186,171.1553,41.3461,52.1508,66.0892,61.5478,80.0121,59.5645,35.2351,75.1361,19.5556,52.7561,24.216,34.6722,46.7169,9.5712,103.4426,80.2034,42.1477,57.7767,38.0028,52.3306,14.4652,15.325,37.9151,23.2144,41.5812,12.3098,37.6095,13.0752,53.6968,117.8853,50.666,30.6359,71.2121,24.1835,29.7513,68.0172,34.4487,30.6062,52.0529,25.1024,24.3725,26.5404,36.4388,30.8684,25.6404,38.2743,54.4671,23.4932,19.242,32.7068,7.9901
CE(20:1),36.5624,27.784,17.9082,51.3141,32.862,26.8618,2.3697,6.5011,5.6339,21.4077,9.2528,32.043,12.1396,23.6336,23.0963,16.4168,6.8561,12.2052,18.7725,18.2486,31.2876,31.5387,2.0857,16.6352,5.8802,20.3984,18.975,57.3011,43.0478,38.3477,35.5943,33.5602,13.8772,18.5589,19.2156,5.9805,1.5008,34.8913,26.1163,23.0524,12.6825,21.697,13.9903,25.6211,30.7704,44.1758,10.8028,17.0141,6.976,15.8648,13.3603,7.3436,11.4404,13.2836,8.5381,3.6698,12.417,9.2955,28.8519,21.6266,6.1722,6.4819,13.8287,24.6363,24.9239,9.716,13.6402,6.6878,14.3472,14.2481,8.3269,37.1386,29.1161,6.1841,38.4895,9.6287,23.5417,17.7256,14.48,14.7674,34.1334,43.6365,37.7409,19.9976,42.6607,7.2379,4.8124,21.4272,10.7733,8.9393,10.0469,9.7864,1.9145,3.705,4.749,9.9315,3.5832,5.8796,4.6535,41.701,29.6523,42.1928,51.6353,19.5238,3.6157,22.7062,22.9036,7.9251,10.2609,29.0924,11.3314,25.0664,55.7563,28.3268,24.662,19.2094,23.8944,12.4227,34.7688,23.8057,25.2896,47.8413,21.6487,28.9517,34.3022,16.5758,23.9707,43.7957,45.7046,17.2282,51.5396,29.4696,32.8591,53.2017,40.9357,26.3546,28.431,16.3258,6.1501,8.104,16.2083,6.8998,13.5168,16.2992,13.8587,2.4585,5.0152,19.5836,25.8068,13.9095,17.0666,12.5215,27.2804,26.113,8.2856,12.604,19.4532,10.8034,23.7295,15.2439,30.7962,4.3422,15.6338,24.7494,30.2211,36.3508,35.0784,13.6288,9.977,9.631,11.9761,11.0836,11.2597,7.7933,37.2196,11.0642,19.3791,34.7034,15.1489,24.0606,32.4543,13.1299,17.8068,43.2237,28.649,21.6062,29.074,8.7092,14.6542,21.8673,23.1846,14.9653,24.6995,24.0187,57.3351,18.7123,17.915,14.5958,5.0965
